Week,Time_slot,subject_candidates,result,value
1,1,"{5,13,18,35}","{5:55},{13:47},{18:32},{35:44}",4.0
1,2,"{16,40}","{16:8},{16:11},{16:26},{16:27},{16:28},{16:49},{40:6},{40:33},{40:41}",9.0
1,3,{11},"{11:49},{11:54}",2.0
1,4,{33},{33:44},1.0
1,5,{35},{35:15},1.0
1,6,"{13,28,30}","{13:8},{28:49},{30:32},{30:44}",4.0
1,7,{45},"{45:11},{45:32},{45:49}",3.0
1,8,{48},{48:49},1.0
1,9,{21},"{21:33},{21:58}",2.0
2,1,"{7,15,19}","{7:13},{7:28},{7:41},{7:50},{15:55},{19:32}",6.0
2,2,{35},{35:15},1.0
2,3,"{1,10}","{1:6},{1:10},{10:11},{10:16},{10:34},{10:54}",6.0
2,4,{33},{33:54},1.0
2,5,{53},"{53:10},{53:13},{53:50},{53:55}",4.0
2,6,"{35,42}","{35:16},{42:31}",2.0
2,7,{40},"{40:11},{40:54},{40:55}",3.0
2,8,"{11,13}","{11:7},{11:54},{13:32}",3.0
2,9,{2},"{2:50},{2:55}",2.0
3,1,"{3,6,48}","{3:0},{6:29},{6:46},{6:50},{48:5}",104.0
3,2,"{13,43}","{13:23},{43:11},{43:49}",3.0
3,3,{52},"{52:4},{52:11},{52:34}",3.0
3,5,"{10,13}","{10:7},{10:26},{10:30},{10:58},{13:50}",5.0
4,1,{48},{48:5},1.0
4,2,"{18,28,32}","{18:49},{28:11},{32:16}",3.0
4,3,{33},{33:14},1.0
4,4,{1},"{1:7},{1:49}",2.0
4,5,{51},{51:0},100.0
4,6,{45},"{45:11},{45:16},{45:49}",3.0
4,7,{52},"{52:4},{52:11},{52:49}",3.0
4,8,"{5,47}","{5:49},{47:0}",101.0
4,9,{15},{15:5},1.0
5,1,"{21,42}","{21:13},{21:58},{42:23}",3.0
5,2,"{13,20,43}","{13:49},{20:16},{20:35},{20:58},{43:10},{43:33}",6.0
5,3,{33},{33:14},1.0
5,4,{13},{13:49},1.0
5,7,{19},{19:49},1.0
5,8,"{7,34}","{7:0},{34:8},{34:49}",102.0
6,1,"{10,47}","{10:12},{10:16},{10:20},{10:22},{47:1},{47:50},{47:55}",7.0
6,2,{52},"{52:6},{52:11},{52:13}",3.0
6,3,{15},{15:11},1.0
6,4,{18},{18:50},1.0
6,5,{38},"{38:7},{38:50}",2.0
6,6,{30},"{30:31},{30:50}",2.0
6,7,{16},"{16:1},{16:6},{16:13},{16:31},{16:44},{16:55}",6.0
6,8,{48},{48:11},1.0
6,9,{53},"{53:1},{53:44},{53:50},{53:55}",4.0
7,1,"{11,13}","{11:13},{11:58},{13:55}",3.0
7,2,"{5,48}","{5:33},{48:13}",2.0
7,3,{30},"{30:33},{30:55}",2.0
7,4,{32},{32:15},1.0
7,5,{51},"{51:13},{51:16},{51:44},{51:55}",4.0
7,6,{11},"{11:8},{11:54}",2.0
7,7,"{10,33}","{10:12},{10:33},{10:46},{10:54},{33:4}",5.0
7,8,"{2,3,6}","{2:27},{2:54},{3:0},{6:8},{6:13},{6:47}",105.0
7,9,"{28,45}","{28:55},{45:30},{45:33},{45:44}",4.0
8,1,{11},"{11:4},{11:50}",2.0
8,2,"{1,19,42}","{1:15},{1:49},{19:2},{42:23}",4.0
8,3,"{14,18}","{14:16},{14:49},{14:55},{18:21}",4.0
8,4,{21},"{21:34},{21:49}",2.0
8,5,{11},"{11:4},{11:31}",2.0
8,6,{29},"{29:31},{29:49}",2.0
8,7,{53},"{53:22},{53:29},{53:31},{53:49},{53:55}",5.0
8,8,{1},"{1:7},{1:29}",2.0
8,9,{33},{33:29},1.0
9,1,"{28,33}","{28:32},{33:29}",2.0
9,2,{11},"{11:13},{11:49}",2.0
9,3,"{38,44}","{38:6},{38:49},{44:33}",3.0
9,4,{43},"{43:10},{43:49}",2.0
9,5,"{7,45}","{7:1},{7:13},{7:46},{7:50},{45:10},{45:28},{45:32}",7.0
9,6,{48},{48:49},1.0
9,7,{16},"{16:1},{16:6},{16:17},{16:32},{16:33},{16:49}",6.0
9,8,{11},"{11:32},{11:49}",2.0
9,9,{52},"{52:32},{52:50},{52:58}",3.0
10,1,{32},{32:17},1.0
10,2,{11},"{11:28},{11:49}",2.0
10,3,{27},{27:49},1.0
10,6,{4},"{4:1},{4:32},{4:49}",3.0
10,7,"{18,45}","{18:13},{45:28},{45:32},{45:49}",4.0
10,9,{47},"{47:1},{47:32},{47:55}",3.0
11,1,"{37,41}","{37:2},{41:13},{41:31},{41:32},{41:41},{41:44},{41:50},{41:55},{41:58}",9.0
11,2,{52},"{52:8},{52:11},{52:13}",3.0
11,6,{1},"{1:10},{1:32}",2.0
11,7,{50},"{50:4},{50:6},{50:31},{50:32}",4.0
11,8,{53},"{53:8},{53:11},{53:13},{53:32}",4.0
11,9,{15},{15:8},1.0
12,1,{33},{33:16},1.0
12,2,{2},"{2:6},{2:49}",2.0
12,3,{12},"{12:49},{12:54}",2.0
12,5,{6},"{6:10},{6:13},{6:30}",3.0
12,6,{20},"{20:26},{20:44},{20:49}",3.0
12,7,{30},"{30:11},{30:49}",2.0
12,8,{7},"{7:13},{7:29},{7:47},{7:49}",4.0
12,9,{10},"{10:1},{10:8},{10:47},{10:58}",4.0
