Week,Time_slot,subject_candidates,result,value
1,1,"{18, 5, 15}","{5:55},{15:1},{18:32}",3
1,2,{11},"{11:35},{11:49}",2
1,3,"{16, 52, 13}","{13:3},{16:6},{16:18},{16:33},{16:41},{16:49},{16:54},{16:55},{52:4},{52:11},{52:26}",11
1,4,"{53, 13}","{13:3},{53:8},{53:33},{53:49},{53:55}",5
1,5,{48},{48:32},1
1,6,{47},"{47:1},{47:33},{47:49}",3
1,7,{30},"{30:49},{30:55}",2
1,8,"{28, 21}","{21:32},{21:35},{28:49}",3
1,9,{45},"{45:1},{45:32},{45:33}",3
2,1,"{1, 10, 19}","{1:28},{1:55},{10:1},{10:32},{10:34},{10:50},{19:16}",7
2,2,"{48, 7}","{7:10},{7:11},{7:16},{7:28},{48:13}",5
2,3,{35},{35:11},1
2,4,{2},"{2:10},{2:50}",2
2,5,"{42, 35, 13}","{13:1},{35:15},{42:31}",3
2,6,{38},"{38:51},{38:54}",2
2,7,{40},"{40:1},{40:13},{40:54}",3
2,8,{51},"{51:11},{51:13},{51:32},{51:44}",4
2,9,{11},"{11:10},{11:50}",2
3,1,{43},"{43:32},{43:50}",2
3,2,"{40, 13}","{13:10},{40:17},{40:49},{40:58}",4
3,3,"{33, 3, 6}","{3:0},{6:10},{6:11},{6:49},{33:17}",104
3,4,"{10, 52, 13}","{10:15},{10:20},{10:30},{10:46},{13:23},{52:4},{52:8},{52:49}",8
3,5,"{33, 13}","{13:1},{33:17}",2
3,6,{1},"{1:49},{1:50}",2
3,7,{35},{35:11},1
3,8,{11},"{11:49},{11:51}",2
3,9,{34},"{34:8},{34:50}",2
4,1,{48},{48:5},1
4,2,{32},{32:11},1
4,3,"{18, 11, 28}","{11:34},{11:49},{18:11},{28:5}",4
4,4,"{5, 15}","{5:16},{15:11}",2
4,5,{48},"{48:16},{48:46}",2
4,6,{11},"{11:11},{11:49}",2
4,7,{30},"{30:11},{30:49}",2
4,8,{29},"{29:11},{29:49}",2
4,9,{33},{33:14},1
5,1,"{33, 20}","{20:1},{20:31},{20:35},{33:4}",4
5,2,{35},{35:13},1
5,3,"{21, 42, 13}","{13:10},{21:4},{21:49},{42:33}",4
5,4,"{35, 19}","{19:53},{35:31}",2
5,5,{33},{33:13},1
5,6,"{51, 13}","{13:10},{51:8},{51:31},{51:33},{51:49}",5
5,7,"{16, 7}","{7:1},{7:13},{7:33},{7:49},{16:4},{16:17},{16:31},{16:51},{16:54},{16:58}",10
5,8,{45},"{45:8},{45:13},{45:49}",3
5,9,{11},"{11:10},{11:58}",2
6,1,"{10, 11}","{10:15},{10:16},{10:19},{10:20},{11:44},{11:50}",6
6,2,{15},{15:11},1
6,3,{43},"{43:11},{43:55}",2
6,4,{53},"{53:11},{53:13},{53:16},{53:50}",4
6,5,{35},{35:13},1
6,6,"{32, 18}","{18:11},{32:16}",2
6,7,{40},"{40:1},{40:6},{40:11}",3
6,8,{45},"{45:11},{45:13},{45:44}",3
6,9,{2},"{2:1},{2:50}",2
7,1,"{5, 47}","{5:38},{47:13},{47:16},{47:55}",4
7,2,"{52, 13}","{13:33},{52:8},{52:13},{52:35}",4
7,3,{30},"{30:33},{30:55}",2
7,4,{48},{48:33},1
7,5,{11},"{11:55},{11:58}",2
7,6,"{1, 3, 28}","{1:6},{1:54},{3:8},{3:16},{3:30},{3:33},{28:38}",7
7,7,"{16, 6}","{6:13},{6:29},{6:46},{16:4},{16:12},{16:33},{16:47},{16:54},{16:58}",9
7,8,{1},"{1:35},{1:54}",2
7,9,"{10, 52}","{10:15},{10:20},{10:26},{10:47},{52:8},{52:29},{52:58}",7
8,1,{11},"{11:4},{11:16}",2
8,2,"{1, 18, 19, 42}","{1:7},{1:49},{18:21},{19:57},{42:16}",5
8,3,{14},"{14:16},{14:49},{14:55}",3
8,4,{45},"{45:31},{45:49},{45:50}",3
8,5,{43},"{43:50},{43:55}",2
8,6,{21},"{21:49},{21:50}",2
8,8,{11},"{11:7},{11:49}",2
8,9,{47},"{47:29},{47:50},{47:55}",3
9,1,{38},"{38:1},{38:58}",2
9,2,{33},{33:13},1
9,3,"{48, 28, 44}","{28:33},{44:49},{48:5}",3
9,6,{53},"{53:1},{53:32},{53:49},{53:50}",4
9,7,{15},{15:13},1
9,8,{1},"{1:48},{1:49}",2
9,9,"{50, 7}","{7:29},{7:32},{7:33},{7:50},{50:1},{50:20},{50:48},{50:58}",8
10,1,{12},"{12:4},{12:32}",2
10,2,{27},{27:49},1
10,3,{32},{32:11},1
10,5,{20},"{20:1},{20:13},{20:28}",3
10,7,"{18, 45}","{18:32},{45:11},{45:28},{45:49}",4
10,8,{4},"{4:11},{4:32},{4:49}",3
11,1,{41},"{41:4},{41:19},{41:27},{41:30},{41:32},{41:41},{41:44},{41:55}",8
11,3,"{52, 37}","{37:4},{52:10},{52:11},{52:55}",4
11,4,{7},"{7:30},{7:33},{7:50},{7:55}",4
11,9,{10},"{10:44},{10:50},{10:55},{10:58}",4
12,1,{2},"{2:44},{2:58}",2
12,2,{33},{33:11},1
12,6,{6},"{6:11},{6:44},{6:49}",3
12,8,{30},"{30:8},{30:49}",2
