Week,Time_slot,subject_candidates,result,value
1,1,"{18, 5, 15}","{5:32},{15:31},{18:1}",3.0
1,2,{11},"{11:8},{11:49}",2.0
1,3,"{16, 52, 13}","{13:33},{16:0},{52:4},{52:6},{52:55}",8.0
1,4,"{53, 13}","{13:23},{53:8},{53:11},{53:49},{53:55}",5.0
1,5,{48},{48:32},1.0
1,6,{47},"{47:11},{47:33},{47:49}",3.0
1,7,{30},"{30:49},{30:55}",2.0
1,8,"{28, 21}","{21:11},{21:32},{28:49}",3.0
1,9,{45},"{45:32},{45:33},{45:55}",3.0
2,1,"{1, 10, 19}","{1:27},{1:55},{10:15},{10:32},{10:44},{10:50},{19:34}",7.0
2,2,"{48, 7}","{7:10},{7:13},{7:16},{7:28},{48:11}",5.0
2,3,{35},{35:11},1.0
2,4,{2},"{2:16},{2:50}",2.0
2,5,"{42, 35, 13}","{13:10},{35:48},{42:38}",3.0
2,6,{38},"{38:50},{38:54}",2.0
2,7,{40},"{40:51},{40:54},{40:55}",3.0
2,8,{51},"{51:11},{51:13},{51:32},{51:44}",4.0
2,9,{11},"{11:10},{11:50}",2.0
3,1,{43},"{43:32},{43:50}",2.0
3,2,"{40, 13}","{13:23},{40:33},{40:49},{40:58}",4.0
3,3,"{33, 3, 6}","{3:0},{6:30},{6:33},{6:49},{33:11}",8.0
3,4,"{10, 52, 13}","{10:0},{13:23},{52:11},{52:33},{52:49}",8.0
3,5,"{33, 13}","{13:38},{33:17}",2.0
3,6,{1},"{1:32},{1:49}",2.0
3,7,{35},{35:11},1.0
3,8,{11},"{11:49},{11:51}",2.0
3,9,{34},"{34:8},{34:50}",2.0
4,1,{48},{48:5},1.0
4,2,{32},{32:11},1.0
4,3,"{18, 11, 28}","{11:11},{11:34},{18:49},{28:16}",4.0
4,4,"{5, 15}","{5:49},{15:11}",2.0
4,5,{48},"{48:16},{48:46}",2.0
4,6,{11},"{11:11},{11:49}",2.0
4,7,{30},"{30:11},{30:49}",2.0
4,8,{29},"{29:11},{29:49}",2.0
4,9,{33},{33:14},1.0
5,1,"{33, 20}","{20:1},{20:4},{20:16},{33:5}",4.0
5,2,{35},{35:13},1.0
5,3,"{21, 42, 13}","{13:10},{21:49},{21:54},{42:5}",4.0
5,4,"{35, 19}","{19:53},{35:31}",2.0
5,5,{33},{33:13},1.0
5,6,"{51, 13}","{13:40},{51:1},{51:16},{51:33},{51:49}",5.0
5,7,"{16, 7}","{7:1},{7:13},{7:33},{7:49},{16:0}",8.0
5,8,{45},"{45:8},{45:13},{45:49}",3.0
5,9,{11},"{11:1},{11:58}",2.0
6,1,"{10, 11}","{10:15},{10:16},{10:19},{10:55},{11:28},{11:50}",6.0
6,2,{15},{15:11},1.0
6,3,{43},"{43:11},{43:55}",2.0
6,4,{53},"{53:11},{53:13},{53:16},{53:55}",4.0
6,5,{35},{35:13},1.0
6,6,"{32, 18}","{18:11},{32:16}",2.0
6,7,{40},"{40:1},{40:6},{40:11}",3.0
6,8,{45},"{45:11},{45:13},{45:44}",3.0
6,9,{2},"{2:48},{2:50}",2.0
7,1,"{5, 47}","{5:21},{47:13},{47:16},{47:55}",4.0
7,2,"{52, 13}","{13:16},{52:6},{52:15},{52:58}",4.0
7,3,{30},"{30:33},{30:55}",2.0
7,4,{48},{48:33},1.0
7,5,{11},"{11:55},{11:58}",2.0
7,6,"{1, 3, 28}","{1:6},{1:54},{3:8},{3:29},{3:33},{3:44},{28:39}",7.0
7,7,"{16, 6}","{6:13},{6:33},{6:55},{16:0}",7.0
7,8,{1},"{1:35},{1:54}",2.0
7,9,"{10, 52}","{10:8},{10:33},{10:44},{10:58},{52:4},{52:29},{52:55}",7.0
8,1,{11},"{11:4},{11:31}",2.0
8,2,"{1, 18, 19, 42}","{1:7},{1:49},{18:21},{19:26},{42:16}",5.0
8,3,{14},"{14:16},{14:49},{14:55}",3.0
8,4,{45},"{45:49},{45:50},{45:55}",3.0
8,5,{43},"{43:50},{43:55}",2.0
8,6,{21},"{21:49},{21:54}",2.0
8,8,{11},"{11:49},{11:54}",2.0
8,9,{47},"{47:29},{47:50},{47:55}",3.0
9,1,{38},"{38:32},{38:58}",2.0
9,2,{33},{33:13},1.0
9,3,"{48, 28, 44}","{28:10},{44:49},{48:33}",3.0
9,6,{53},{53:0},4.0
9,7,{15},{15:13},1.0
9,8,{1},"{1:32},{1:49}",2.0
9,9,"{50, 7}","{7:0},{50:1},{50:29},{50:32},{50:58}",8.0
10,1,{12},"{12:4},{12:32}",2.0
10,2,{27},{27:49},1.0
10,3,{32},{32:11},1.0
10,5,{20},"{20:1},{20:4},{20:7}",3.0
10,7,"{18, 45}","{18:13},{45:11},{45:32},{45:49}",4.0
10,8,{4},"{4:11},{4:32},{4:49}",3.0
11,1,{41},{41:0},4.0
11,3,"{52, 37}","{37:4},{52:11},{52:33},{52:55}",4.0
11,4,{7},{7:0},4.0
11,9,{10},"{10:15},{10:30},{10:41},{10:58}",4.0
12,1,{2},"{2:44},{2:58}",2.0
12,2,{33},{33:11},1.0
12,6,{6},"{6:11},{6:44},{6:49}",3.0
12,8,{30},"{30:11},{30:49}",2.0
